folder,process,modeler_file,modeler_prompt,modeler_completion,modeler_total,parser_file,parser_prompt,parser_completion,parser_total,combined_prompt,combined_completion,combined_total,full_file,full_total
no_few_shot_no_constraints,01,/workspaces/ablation_study/no_few_shot_no_constraints/01/modeler.json,1940,3734,5674,/workspaces/ablation_study/no_few_shot_no_constraints/01/parser.json,1549,793,2342,3489,4527,8016,,
no_few_shot_no_constraints,02,/workspaces/ablation_study/no_few_shot_no_constraints/02/modeler.json,1751,1155,2906,/workspaces/ablation_study/no_few_shot_no_constraints/02/parser.json,1549,604,2153,3300,1759,5059,,
no_few_shot_no_constraints,03,/workspaces/ablation_study/no_few_shot_no_constraints/03/modeler.json,1765,3935,5700,/workspaces/ablation_study/no_few_shot_no_constraints/03/parser.json,1549,618,2167,3314,4553,7867,,
no_few_shot_no_constraints,15,/workspaces/ablation_study/no_few_shot_no_constraints/15/modeler.json,1895,1398,3293,/workspaces/ablation_study/no_few_shot_no_constraints/15/parser.json,1549,748,2297,3444,2146,5590,,
no_few_shot_no_constraints,16,/workspaces/ablation_study/no_few_shot_no_constraints/16/modeler.json,4426,4843,9269,/workspaces/ablation_study/no_few_shot_no_constraints/16/parser.json,1825,562,2387,6251,5405,11656,,
no_few_shot_no_constraints,18,/workspaces/ablation_study/no_few_shot_no_constraints/18/modeler.json,2135,3246,5381,/workspaces/ablation_study/no_few_shot_no_constraints/18/parser.json,1827,953,2780,3962,4199,8161,,
no_few_shot_no_constraints,24,/workspaces/ablation_study/no_few_shot_no_constraints/24/modeler.json,1708,2058,3766,/workspaces/ablation_study/no_few_shot_no_constraints/24/parser.json,1771,526,2297,3479,2584,6063,,
no_few_shot_no_constraints,27,/workspaces/ablation_study/no_few_shot_no_constraints/27/modeler.json,1877,1576,3453,/workspaces/ablation_study/no_few_shot_no_constraints/27/parser.json,2494,695,3189,4371,2271,6642,,
no_few_shot_no_constraints,29,/workspaces/ablation_study/no_few_shot_no_constraints/29/modeler.json,1877,1576,3453,/workspaces/ablation_study/no_few_shot_no_constraints/29/parser.json,2204,677,2881,4081,2253,6334,,
no_few_shot_no_constraints,32,/workspaces/ablation_study/no_few_shot_no_constraints/32/modeler.json,1925,2219,4144,/workspaces/ablation_study/no_few_shot_no_constraints/32/parser.json,1925,2219,4144,3850,4438,8288,,
no_few_shot_no_constraints,41,/workspaces/ablation_study/no_few_shot_no_constraints/41/modeler.json,1637,682,2319,/workspaces/ablation_study/no_few_shot_no_constraints/41/parser.json,1637,455,2092,3274,1137,4411,,
no_few_shot_no_constraints,52,/workspaces/ablation_study/no_few_shot_no_constraints/52/modeler.json,1615,1211,2826,/workspaces/ablation_study/no_few_shot_no_constraints/52/parser.json,1591,433,2024,3206,1644,4850,,
no_few_shot_no_constraints,53,/workspaces/ablation_study/no_few_shot_no_constraints/53/modeler.json,1622,866,2488,/workspaces/ablation_study/no_few_shot_no_constraints/53/parser.json,1589,440,2029,3211,1306,4517,,
no_few_shot_no_constraints,54,/workspaces/ablation_study/no_few_shot_no_constraints/54/modeler.json,1627,745,2372,/workspaces/ablation_study/no_few_shot_no_constraints/54/parser.json,1598,445,2043,3225,1190,4415,,
no_few_shot_no_constraints,55,/workspaces/ablation_study/no_few_shot_no_constraints/55/modeler.json,1730,1882,3612,/workspaces/ablation_study/no_few_shot_no_constraints/55/parser.json,1811,548,2359,3541,2430,5971,,
single_agent,01,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/01_full_response.json,4940
single_agent,02,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/02_full_response.json,5547
single_agent,03,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/03_full_response.json,5248
single_agent,15,,,,,,,,,0,0,0,/workspaces/ablation_study/single_agent/full_response/15_full_response.json,5456
