path,types,file,snippet
$.definitions.$schema,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.rootElements[].type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.rootElements[].flowElements[].type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.rootElements[].flowElements[].incoming[],string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.rootElements[].flowElements[].gatewayDirection,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.rootElements[].flowElements[].default,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram,object,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.resolution,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane,object,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape,array,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[],object,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].bounds,object,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].bounds.x,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].bounds.y,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].bounds.width,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNShape[].bounds.height,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge,array,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[],object,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].id,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].type,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].waypoint,array,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].waypoint[],object,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].waypoint[].x,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.definitions.bpmndi:BPMNDiagram.BPMNPlane.BPMNEdge[].waypoint[].y,number,/workspaces/ablation_study/no_few_shot_no_constraints/01/01.json,
$.bpmn:Definitions.xmlns:xsi,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.xsi:schemaLocation,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.isExecutable,boolean,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements,array,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[],object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:startEvent,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:startEvent.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:startEvent.name,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:receiveTask,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:receiveTask.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:receiveTask.name,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.name,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.attachedToRef,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.cancelActivity,boolean,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.eventDefinitions,array,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.eventDefinitions[],object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.eventDefinitions[].bpmn:timerEventDefinition,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.eventDefinitions[].bpmn:timerEventDefinition.timeDuration,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.eventDefinitions[].bpmn:errorEventDefinition,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:boundaryEvent.eventDefinitions[].bpmn:errorEventDefinition.errorRef,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:userTask,object,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:userTask.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmn:Process.flowElements[].bpmn:userTask.name,string,/workspaces/ablation_study/no_few_shot_no_constraints/02/02.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram,object,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane,object,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.id,string,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.bpmnElement,string,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement,array,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[],object,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
$.bpmn:Definitions.bpmndi:BPMNDiagram.BPMNPlane.di:DiagramElement[].bpmndi:BPMNShape,object,/workspaces/ablation_study/no_few_shot_no_constraints/03/03.json,
